img_3,angle,img_2,flip,img_1,img_path,item,other_item
"150528,3070295,3140021",-34.04679373106292,"150528,3070295,3140021",0,"390000,7954099,8134764",./data/images/DUTS_class/817/n04285008_5838.jpg,3,215
"150528,2793292,3015160",-36.03135793627499,"150528,2793292,3015160",0,"320400,5943518,6415740",./data/images/DUTS_class/147/ILSVRC2012_test_00053990.jpg,6,169
"150528,4081364,3931315",60.90920536832383,"150528,4081364,3931315",1,"456000,12363733,11909298",./data/images/DUTS_class/151/ILSVRC2012_test_00069583.jpg,7,47
"150528,3198817,1575815",28.75713872692189,"150528,3198817,1575815",1,"360000,7648983,3768105",./data/images/DUTS_class/934/n07697537_30165.jpg,1,288
"150528,3702861,3675238",71.03707615257437,"150528,3702861,3675238",1,"360000,8854430,8788534",./data/images/DUTS_class/575/n03445924_16351.jpg,2,183
"150528,4110205,2875424",-87.33333245553766,"150528,4110205,2875424",1,"360000,9828775,6875887",./data/images/DUTS_class/21/ILSVRC2012_test_00050671.jpg,0,125
"150528,3073544,3337878",71.97604900429207,"150528,3073544,3337878",0,"360000,7349243,7981658",./data/images/DUTS_class/437/sun_bjxznttjixzvrekx.jpg,4,167
"150528,2358343,825520",87.26351664892874,"150528,2358343,825520",0,"321600,5038272,1763971",./data/images/DUTS_class/951/ILSVRC2012_test_00043804.jpg,5,235
"301056,3216066,2427868",-83.4724375771058,"301056,3216066,2427868",0,"576000,6153516,4645257",./data/images/DUTS_class/817/n04285008_5139.jpg,3,215
"301056,3532168,3387105",67.98060014052278,"301056,3532168,3387105",0,"720000,8447057,8100227",./data/images/DUTS_class/151/ILSVRC2012_test_00057159.jpg,7,47
"451584,2432261,2233694",62.99050575724184,"451584,2432261,2233694",0,"946800,5100138,4683656",./data/images/DUTS_class/817/n04285008_3414.jpg,3,215
"301056,2628409,808544",63.94820251236688,"301056,2628409,808544",0,"720000,6285084,1933559",./data/images/DUTS_class/951/ILSVRC2012_test_00043095.jpg,5,235
"301056,3576672,3235705",-47.475898613266004,"301056,3576672,3235705",0,"720000,8551995,7736533",./data/images/DUTS_class/437/sun_amwnqpoecflqnumf.jpg,4,167
"301056,2847742,2922520",-60.32926468578145,"301056,2847742,2922520",1,"640800,6060186,6219333",./data/images/DUTS_class/147/ILSVRC2014_train_00006847.jpg,6,169
"301056,3885899,5217636",-23.52736484197662,"301056,3885899,5217636",1,"768000,9912692,13309558",./data/images/DUTS_class/21/ILSVRC2012_test_00045933.jpg,0,125
"301056,3282002,2313950",34.95853602145765,"301056,3282002,2313950",0,"640800,6984122,4923721",./data/images/DUTS_class/575/ILSVRC2014_train_00030434.jpg,2,183
"301056,4640989,3863652",60.07754726813866,"301056,4640989,3863652",0,"950400,14652556,12198703",./data/images/DUTS_class/934/n07697537_7643.jpg,1,288
"451584,3649229,3429783",5.149342443459247,"451584,3649229,3429783",1,"1440000,11636562,10937037",./data/images/DUTS_class/151/ILSVRC2012_test_00070582.jpg,7,47
"602112,2350208,2218564",-46.012298524009374,"602112,2350208,2218564",0,"1281600,5000095,4720236",./data/images/DUTS_class/817/n04285008_1808.jpg,3,215
"451584,3469775,3717244",0.9842411247007732,"451584,3469775,3717244",1,"1080000,8297294,8888254",./data/images/DUTS_class/437/sun_adxcbxnjvycdxajj.jpg,4,167
"451584,2729331,1569297",71.92872907503126,"451584,2729331,1569297",1,"1080000,6526368,3752610",./data/images/DUTS_class/951/n07749582_20067.jpg,5,235
"451584,3466592,3460408",-32.11777475994323,"451584,3466592,3460408",1,"961200,7376364,7363139",./data/images/DUTS_class/147/ILSVRC2012_test_00006733.jpg,6,169
"602112,2320041,2017700",6.486226017731795,"602112,2320041,2017700",1,"1440000,5548046,4824803",./data/images/DUTS_class/151/ILSVRC2012_test_00022362.jpg,7,47
"451584,4938260,5162884",22.97541577993765,"451584,4938260,5162884",1,"1080000,11809621,12346708",./data/images/DUTS_class/21/ILSVRC2013_test_00003152.jpg,0,125
"752640,4501800,4463217",-37.102316255589905,"752640,4501800,4463217",1,"1602000,9577691,9495659",./data/images/DUTS_class/817/ILSVRC2013_test_00000418.jpg,3,215
"451584,2060380,1725785",-40.781442470773676,"451584,2060380,1725785",0,"1080000,4926841,4127068",./data/images/DUTS_class/575/ILSVRC2012_test_00062402.jpg,2,183
